uid,from_uid,dropout,embedding_size,epoch,lr,train f1,valid ppl
19751736_1,,0.36219283193208957,512,1,1.1623044608837685e-05,0.49396,1.45
19751736_2,19751736_1,0.36219283193208957,512,2,1.1623044608837685e-05,0.49452,1.43
19751736_3,19751736_2,0.36219283193208957,512,3,1.1623044608837685e-05,0.50076,1.42
19751736_4,19751736_3,0.36219283193208957,512,4,1.1623044608837685e-05,0.51296,1.41
19751736_5,19751736_4,0.36219283193208957,512,5,1.1623044608837685e-05,0.52709,1.41
19751736_6,19751736_5,0.36219283193208957,512,6,1.1623044608837685e-05,0.53969,1.41
19751736_7,19751736_6,0.36219283193208957,512,7,1.1623044608837685e-05,0.55326,1.41
19751736_8,19751736_7,0.36219283193208957,512,8,1.1623044608837685e-05,0.56318,1.41
19751736_9,19751736_8,0.36219283193208957,512,9,1.1623044608837685e-05,0.57810,1.40
19751736_10,19751736_9,0.36219283193208957,512,10,1.1623044608837685e-05,0.58103,1.40
19751736_11,19751736_10,0.36219283193208957,512,11,1.1623044608837685e-05,0.58263,1.40
19751736_12,19751736_11,0.36219283193208957,512,12,1.1623044608837685e-05,0.58959,1.40
19751736_13,19751736_12,0.36219283193208957,512,13,1.1623044608837685e-05,0.59743,1.40
19751736_14,19751736_13,0.36219283193208957,512,14,1.1623044608837685e-05,0.59931,1.40
19751736_15,19751736_14,0.36219283193208957,512,15,1.1623044608837685e-05,0.59899,1.40
19751736_16,19751736_15,0.36219283193208957,512,16,1.1623044608837685e-05,0.60035,1.40
19751736_17,19751736_16,0.36219283193208957,512,17,1.1623044608837685e-05,0.60519,1.40
19751736_18,19751736_17,0.36219283193208957,512,18,1.1623044608837685e-05,0.61180,1.40
19751736_19,19751736_18,0.36219283193208957,512,19,1.1623044608837685e-05,0.60611,1.40
19751736_20,19751736_19,0.36219283193208957,512,20,1.1623044608837685e-05,0.60815,1.40
19751736_21,19751736_20,0.36219283193208957,512,21,1.1623044608837685e-05,0.61200,1.40
19751736_22,19751736_21,0.36219283193208957,512,22,1.1623044608837685e-05,0.61392,1.40
19751736_23,19751736_22,0.36219283193208957,512,23,1.1623044608837685e-05,0.61368,1.40
19751736_24,19751736_23,0.36219283193208957,512,24,1.1623044608837685e-05,0.61396,1.39
19751736_25,19751736_24,0.36219283193208957,512,25,1.1623044608837685e-05,0.61276,1.39
19751736_26,19751736_25,0.36219283193208957,512,26,1.1623044608837685e-05,0.61492,1.39
19751736_27,19751736_26,0.36219283193208957,512,27,1.1623044608837685e-05,0.62036,1.39
19751736_28,19751736_27,0.36219283193208957,512,28,1.1623044608837685e-05,0.61732,1.39
19751736_29,19751736_28,0.36219283193208957,512,29,1.1623044608837685e-05,0.62124,1.39
19751736_30,19751736_29,0.36219283193208957,512,30,1.1623044608837685e-05,0.62272,1.39
19751736_31,19751736_30,0.36219283193208957,512,31,1.1623044608837685e-05,0.61956,1.39
