uid,from_uid,dropout,embedding_size,epoch,lr,train f1,valid ppl
19751736_32,19751736_31,0.36219283193208957,512,32,1.1623044608837685e-05,0.62396,1.39
19751736_33,19751736_32,0.36219283193208957,512,33,1.1623044608837685e-05,0.62516,1.39
19751736_34,19751736_33,0.36219283193208957,512,34,1.1623044608837685e-05,0.62936,1.39
19751736_35,19751736_34,0.36219283193208957,512,35,1.1623044608837685e-05,0.62712,1.39
19751736_36,19751736_35,0.36219283193208957,512,36,1.1623044608837685e-05,0.62860,1.39
19751736_37,19751736_36,0.36219283193208957,512,37,1.1623044608837685e-05,0.62972,1.39
19751736_38,19751736_37,0.36219283193208957,512,38,1.1623044608837685e-05,0.63048,1.39
19751736_39,19751736_38,0.36219283193208957,512,39,1.1623044608837685e-05,0.63032,1.39
19751736_40,19751736_39,0.36219283193208957,512,40,1.1623044608837685e-05,0.63256,1.39
19751736_41,19751736_40,0.36219283193208957,512,41,1.1623044608837685e-05,0.63096,1.39
19751736_42,19751736_41,0.36219283193208957,512,42,1.1623044608837685e-05,0.63420,1.39
19751736_43,19751736_42,0.36219283193208957,512,43,1.1623044608837685e-05,0.63312,1.39
19751736_44,19751736_43,0.36219283193208957,512,44,1.1623044608837685e-05,0.63312,1.39
19751736_45,19751736_44,0.36219283193208957,512,45,1.1623044608837685e-05,0.63604,1.39
19751736_46,19751736_45,0.36219283193208957,512,46,1.1623044608837685e-05,0.63124,1.39
19751736_47,19751736_46,0.36219283193208957,512,47,1.1623044608837685e-05,0.63748,1.39
19751741_1,,0.15019922073916558,512,1,0.00011537153528505917,0.52333,1.41
19751741_2,19751741_1,0.15019922073916558,512,2,0.00011537153528505917,0.57606,1.40
19751741_3,19751741_2,0.15019922073916558,512,3,0.00011537153528505917,0.62136,1.39
19751741_4,19751741_3,0.15019922073916558,512,4,0.00011537153528505917,0.67342,1.35
19751741_5,19751741_4,0.15019922073916558,512,5,0.00011537153528505917,0.69902,1.32
19751741_6,19751741_5,0.15019922073916558,512,6,0.00011537153528505917,0.73147,1.30
19751741_7,19751741_6,0.15019922073916558,512,7,0.00011537153528505917,0.74968,1.29
19751741_8,19751741_7,0.15019922073916558,512,8,0.00011537153528505917,0.76456,1.28
19751741_9,19751741_8,0.15019922073916558,512,9,0.00011537153528505917,0.77425,1.27
19751741_10,19751741_9,0.15019922073916558,512,10,0.00011537153528505917,0.77949,1.27
19751741_11,19751741_10,0.15019922073916558,512,11,0.00011537153528505917,0.78737,1.26
19751741_12,19751741_11,0.15019922073916558,512,12,0.00011537153528505917,0.79189,1.26
19751741_13,19751741_12,0.15019922073916558,512,13,0.00011537153528505917,0.79661,1.25
19751741_14,19751741_13,0.15019922073916558,512,14,0.00011537153528505917,0.80190,1.25
19751741_15,19751741_14,0.15019922073916558,512,15,0.00011537153528505917,0.80358,1.25
19751741_16,19751741_15,0.15019922073916558,512,16,0.00011537153528505917,0.80902,1.25
19751742_1,,0.1790557005178633,1024,1,0.0220291717778555,0.74304,1.27
19751742_2,19751742_1,0.1790557005178633,1024,2,0.0220291717778555,0.84991,1.23
19751742_3,19751742_2,0.1790557005178633,1024,3,0.0220291717778555,0.90989,1.24
19751742_4,19751742_3,0.1790557005178633,1024,4,0.0220291717778555,0.93782,1.27
19751742_5,19751742_4,0.1790557005178633,1024,5,0.0220291717778555,0.95939,1.32
19751742_6,19751742_5,0.1790557005178633,1024,6,0.0220291717778555,0.97567,1.39
19751742_7,19751742_6,0.1790557005178633,1024,7,0.0220291717778555,0.98407,1.49
19751742_8,19751742_7,0.1790557005178633,1024,8,0.0220291717778555,0.99120,1.56
19751742_9,19751742_8,0.1790557005178633,1024,9,0.0220291717778555,0.99528,1.67
19751743_1,,0.39507120214920194,1024,1,0.10224334868521955,0.65237,1.42
19751743_2,19751743_1,0.39507120214920194,1024,2,0.10224334868521955,0.71899,1.44
19751743_3,19751743_2,0.39507120214920194,1024,3,0.10224334868521955,0.72711,1.35
19751743_4,19751743_3,0.39507120214920194,1024,4,0.10224334868521955,0.73323,1.35
19751743_5,19751743_4,0.39507120214920194,1024,5,0.10224334868521955,0.73840,1.33
19751743_6,19751743_5,0.39507120214920194,1024,6,0.10224334868521955,0.74316,1.34
19751743_7,19751743_6,0.39507120214920194,1024,7,0.10224334868521955,0.74604,1.36
19751743_8,19751743_7,0.39507120214920194,1024,8,0.10224334868521955,0.74848,1.32
19751743_9,19751743_8,0.39507120214920194,1024,9,0.10224334868521955,0.75104,1.32
19751743_10,19751743_9,0.39507120214920194,1024,10,0.10224334868521955,0.75188,1.32
19751743_11,19751743_10,0.39507120214920194,1024,11,0.10224334868521955,0.75340,1.34
19751743_12,19751743_11,0.39507120214920194,1024,12,0.10224334868521955,0.75688,1.31
19751745_1,,0.09354169390207578,64,1,0.006027920745380031,0.69134,1.17
19751745_2,19751745_1,0.09354169390207578,64,2,0.006027920745380031,0.90777,1.17
19751745_3,19751745_2,0.09354169390207578,64,3,0.006027920745380031,0.94770,1.19
19751745_4,19751745_3,0.09354169390207578,64,4,0.006027920745380031,0.96343,1.21
19751745_5,19751745_4,0.09354169390207578,64,5,0.006027920745380031,0.97299,1.24
19751745_6,19751745_5,0.09354169390207578,64,6,0.006027920745380031,0.97891,1.26
19751745_7,19751745_6,0.09354169390207578,64,7,0.006027920745380031,0.98427,1.28
19751745_8,19751745_7,0.09354169390207578,64,8,0.006027920745380031,0.98588,1.30
19751745_9,19751745_8,0.09354169390207578,64,9,0.006027920745380031,0.98828,1.32
19751745_10,19751745_9,0.09354169390207578,64,10,0.006027920745380031,0.98936,1.33
19751745_11,19751745_10,0.09354169390207578,64,11,0.006027920745380031,0.99036,1.34
19751745_12,19751745_11,0.09354169390207578,64,12,0.006027920745380031,0.99132,1.36
19751745_13,19751745_12,0.09354169390207578,64,13,0.006027920745380031,0.99168,1.37
19751745_14,19751745_13,0.09354169390207578,64,14,0.006027920745380031,0.99344,1.38
19751745_15,19751745_14,0.09354169390207578,64,15,0.006027920745380031,0.99312,1.39
19751745_16,19751745_15,0.09354169390207578,64,16,0.006027920745380031,0.99416,1.40
19751745_17,19751745_16,0.09354169390207578,64,17,0.006027920745380031,0.99500,1.41
19751745_18,19751745_17,0.09354169390207578,64,18,0.006027920745380031,0.99484,1.41
19751745_19,19751745_18,0.09354169390207578,64,19,0.006027920745380031,0.99496,1.42
19751752_1,,0.24906574463708958,32,1,0.1408017628598189,0.75212,1.16
19751752_2,19751752_1,0.24906574463708958,32,2,0.1408017628598189,0.92041,1.18
19751752_3,19751752_2,0.24906574463708958,32,3,0.1408017628598189,0.96143,1.29
19751752_4,19751752_3,0.24906574463708958,32,4,0.1408017628598189,0.98067,1.37
19751752_5,19751752_4,0.24906574463708958,32,5,0.1408017628598189,0.98748,1.61
19751752_6,19751752_5,0.24906574463708958,32,6,0.1408017628598189,0.98900,1.49
19751752_7,19751752_6,0.24906574463708958,32,7,0.1408017628598189,0.99340,1.56
19751752_8,19751752_7,0.24906574463708958,32,8,0.1408017628598189,0.99676,1.64
19751752_9,19751752_8,0.24906574463708958,32,9,0.1408017628598189,0.99828,1.89
19751752_10,19751752_9,0.24906574463708958,32,10,0.1408017628598189,0.99900,1.84
19751752_11,19751752_10,0.24906574463708958,32,11,0.1408017628598189,0.99940,1.90
19751752_12,19751752_11,0.24906574463708958,32,12,0.1408017628598189,0.99952,1.93
19751752_13,19751752_12,0.24906574463708958,32,13,0.1408017628598189,0.99960,1.92
19751752_14,19751752_13,0.24906574463708958,32,14,0.1408017628598189,0.99964,1.96
19751752_15,19751752_14,0.24906574463708958,32,15,0.1408017628598189,0.99984,1.97
19751752_16,19751752_15,0.24906574463708958,32,16,0.1408017628598189,0.99984,2.03
19751752_17,19751752_16,0.24906574463708958,32,17,0.1408017628598189,0.99984,1.97
19751752_18,19751752_17,0.24906574463708958,32,18,0.1408017628598189,0.99984,1.98
19751752_19,19751752_18,0.24906574463708958,32,19,0.1408017628598189,0.99988,2.05
19751752_20,19751752_19,0.24906574463708958,32,20,0.1408017628598189,0.99992,2.00
19751752_21,19751752_20,0.24906574463708958,32,21,0.1408017628598189,0.99984,1.99
19751752_22,19751752_21,0.24906574463708958,32,22,0.1408017628598189,0.99984,1.97
19751752_23,19751752_22,0.24906574463708958,32,23,0.1408017628598189,0.99996,2.01
19751752_24,19751752_23,0.24906574463708958,32,24,0.1408017628598189,0.99996,1.99
19751752_25,19751752_24,0.24906574463708958,32,25,0.1408017628598189,0.99988,2.00
19751752_26,19751752_25,0.24906574463708958,32,26,0.1408017628598189,0.99984,2.00
19751752_27,19751752_26,0.24906574463708958,32,27,0.1408017628598189,0.99988,2.02
19751752_28,19751752_27,0.24906574463708958,32,28,0.1408017628598189,0.99996,2.03
19751752_29,19751752_28,0.24906574463708958,32,29,0.1408017628598189,0.99996,2.03
19751752_30,19751752_29,0.24906574463708958,32,30,0.1408017628598189,0.99996,2.03
19751752_31,19751752_30,0.24906574463708958,32,31,0.1408017628598189,1.00000,2.07
19751752_32,19751752_31,0.24906574463708958,32,32,0.1408017628598189,0.99996,2.06
19751752_33,19751752_32,0.24906574463708958,32,33,0.1408017628598189,1.00000,2.06
19751752_34,19751752_33,0.24906574463708958,32,34,0.1408017628598189,1.00000,2.07
19751752_35,19751752_34,0.24906574463708958,32,35,0.1408017628598189,0.99996,2.11
19751752_36,19751752_35,0.24906574463708958,32,36,0.1408017628598189,0.99996,2.06
19751752_37,19751752_36,0.24906574463708958,32,37,0.1408017628598189,0.99996,2.08
19751752_38,19751752_37,0.24906574463708958,32,38,0.1408017628598189,1.00000,2.11
19751752_39,19751752_38,0.24906574463708958,32,39,0.1408017628598189,1.00000,2.15
19751752_40,19751752_39,0.24906574463708958,32,40,0.1408017628598189,1.00000,2.09
19751752_41,19751752_40,0.24906574463708958,32,41,0.1408017628598189,0.99992,2.16
19751752_42,19751752_41,0.24906574463708958,32,42,0.1408017628598189,0.99992,2.09
19751752_43,19751752_42,0.24906574463708958,32,43,0.1408017628598189,0.99996,2.12
19751752_44,19751752_43,0.24906574463708958,32,44,0.1408017628598189,1.00000,2.10
19751752_45,19751752_44,0.24906574463708958,32,45,0.1408017628598189,0.99996,2.08
19751756_1,,0.2954705488024159,32,1,6.383584486732107e-05,0.50000,1.42
19751756_2,19751756_1,0.2954705488024159,32,2,6.383584486732107e-05,0.50000,1.42
19751756_3,19751756_2,0.2954705488024159,32,3,6.383584486732107e-05,0.50000,1.42
19751756_4,19751756_3,0.2954705488024159,32,4,6.383584486732107e-05,0.50000,1.42
19751756_5,19751756_4,0.2954705488024159,32,5,6.383584486732107e-05,0.50004,1.42
19751756_6,19751756_5,0.2954705488024159,32,6,6.383584486732107e-05,0.50004,1.42
19751756_7,19751756_6,0.2954705488024159,32,7,6.383584486732107e-05,0.50020,1.41
19751756_8,19751756_7,0.2954705488024159,32,8,6.383584486732107e-05,0.50008,1.41
19751756_9,19751756_8,0.2954705488024159,32,9,6.383584486732107e-05,0.50052,1.41
19751756_10,19751756_9,0.2954705488024159,32,10,6.383584486732107e-05,0.50072,1.41
19751756_11,19751756_10,0.2954705488024159,32,11,6.383584486732107e-05,0.50020,1.41
19751756_12,19751756_11,0.2954705488024159,32,12,6.383584486732107e-05,0.50112,1.41
19751756_13,19751756_12,0.2954705488024159,32,13,6.383584486732107e-05,0.50032,1.41
19751756_14,19751756_13,0.2954705488024159,32,14,6.383584486732107e-05,0.50208,1.41
19751756_15,19751756_14,0.2954705488024159,32,15,6.383584486732107e-05,0.50228,1.41
19751756_16,19751756_15,0.2954705488024159,32,16,6.383584486732107e-05,0.50296,1.41
19751756_17,19751756_16,0.2954705488024159,32,17,6.383584486732107e-05,0.50516,1.41
19751756_18,19751756_17,0.2954705488024159,32,18,6.383584486732107e-05,0.50476,1.41
19751756_19,19751756_18,0.2954705488024159,32,19,6.383584486732107e-05,0.50492,1.41
19751756_20,19751756_19,0.2954705488024159,32,20,6.383584486732107e-05,0.50560,1.41
19751759_1,,0.15859982097601188,32,1,0.02823384751187161,0.71743,1.16
19751759_2,19751759_1,0.15859982097601188,32,2,0.02823384751187161,0.91525,1.17
19751759_3,19751759_2,0.15859982097601188,32,3,0.02823384751187161,0.96731,1.23
19751759_4,19751759_3,0.15859982097601188,32,4,0.02823384751187161,0.98740,1.31
19751759_5,19751759_4,0.15859982097601188,32,5,0.02823384751187161,0.99424,1.37
19751759_6,19751759_5,0.15859982097601188,32,6,0.02823384751187161,0.99704,1.41
19751759_7,19751759_6,0.15859982097601188,32,7,0.02823384751187161,0.99812,1.44
19751762_1,,0.2975074167032503,2048,1,9.78862509938365e-06,0.50544,1.42
19751762_2,19751762_1,0.2975074167032503,2048,2,9.78862509938365e-06,0.54165,1.38
19751762_3,19751762_2,0.2975074167032503,2048,3,9.78862509938365e-06,0.61112,1.36
19751762_4,19751762_3,0.2975074167032503,2048,4,9.78862509938365e-06,0.64129,1.36
19751762_5,19751762_4,0.2975074167032503,2048,5,9.78862509938365e-06,0.66157,1.35
19751762_6,19751762_5,0.2975074167032503,2048,6,9.78862509938365e-06,0.67834,1.34
19751762_7,19751762_6,0.2975074167032503,2048,7,9.78862509938365e-06,0.69218,1.33
19751762_8,19751762_7,0.2975074167032503,2048,8,9.78862509938365e-06,0.70507,1.33
19751762_9,19751762_8,0.2975074167032503,2048,9,9.78862509938365e-06,0.70855,1.32
19751762_10,19751762_9,0.2975074167032503,2048,10,9.78862509938365e-06,0.71503,1.32
19751762_11,19751762_10,0.2975074167032503,2048,11,9.78862509938365e-06,0.72223,1.31
19751762_12,19751762_11,0.2975074167032503,2048,12,9.78862509938365e-06,0.72699,1.31
19751762_13,19751762_12,0.2975074167032503,2048,13,9.78862509938365e-06,0.73131,1.31
19751762_14,19751762_13,0.2975074167032503,2048,14,9.78862509938365e-06,0.73536,1.31
19751762_15,19751762_14,0.2975074167032503,2048,15,9.78862509938365e-06,0.73712,1.31
19751762_16,19751762_15,0.2975074167032503,2048,16,9.78862509938365e-06,0.73940,1.31
19751762_17,19751762_16,0.2975074167032503,2048,17,9.78862509938365e-06,0.73828,1.31
19751762_18,19751762_17,0.2975074167032503,2048,18,9.78862509938365e-06,0.73936,1.31
19751762_19,19751762_18,0.2975074167032503,2048,19,9.78862509938365e-06,0.74276,1.31
19751762_20,19751762_19,0.2975074167032503,2048,20,9.78862509938365e-06,0.74352,1.31
19751762_21,19751762_20,0.2975074167032503,2048,21,9.78862509938365e-06,0.74420,1.31
19751762_22,19751762_21,0.2975074167032503,2048,22,9.78862509938365e-06,0.74228,1.31
19751762_23,19751762_22,0.2975074167032503,2048,23,9.78862509938365e-06,0.74596,1.31
19751762_24,19751762_23,0.2975074167032503,2048,24,9.78862509938365e-06,0.74472,1.31
19751762_25,19751762_24,0.2975074167032503,2048,25,9.78862509938365e-06,0.74416,1.31
19751762_26,19751762_25,0.2975074167032503,2048,26,9.78862509938365e-06,0.74788,1.31
19751762_27,19751762_26,0.2975074167032503,2048,27,9.78862509938365e-06,0.75104,1.31
19751762_28,19751762_27,0.2975074167032503,2048,28,9.78862509938365e-06,0.74796,1.31
19751762_29,19751762_28,0.2975074167032503,2048,29,9.78862509938365e-06,0.75316,1.31
19751762_30,19751762_29,0.2975074167032503,2048,30,9.78862509938365e-06,0.75036,1.31
19751762_31,19751762_30,0.2975074167032503,2048,31,9.78862509938365e-06,0.75188,1.31
19751762_32,19751762_31,0.2975074167032503,2048,32,9.78862509938365e-06,0.75580,1.31
19751762_33,19751762_32,0.2975074167032503,2048,33,9.78862509938365e-06,0.75412,1.31
19751762_34,19751762_33,0.2975074167032503,2048,34,9.78862509938365e-06,0.75240,1.31
19751762_35,19751762_34,0.2975074167032503,2048,35,9.78862509938365e-06,0.75600,1.31
19751762_36,19751762_35,0.2975074167032503,2048,36,9.78862509938365e-06,0.75616,1.31
19751762_37,19751762_36,0.2975074167032503,2048,37,9.78862509938365e-06,0.75508,1.30
19751762_38,19751762_37,0.2975074167032503,2048,38,9.78862509938365e-06,0.75676,1.30
19751762_39,19751762_38,0.2975074167032503,2048,39,9.78862509938365e-06,0.75564,1.30
19751762_40,19751762_39,0.2975074167032503,2048,40,9.78862509938365e-06,0.75628,1.30
19751762_41,19751762_40,0.2975074167032503,2048,41,9.78862509938365e-06,0.75780,1.30
19751762_42,19751762_41,0.2975074167032503,2048,42,9.78862509938365e-06,0.75696,1.30
19751762_43,19751762_42,0.2975074167032503,2048,43,9.78862509938365e-06,0.75800,1.30
19751762_44,19751762_43,0.2975074167032503,2048,44,9.78862509938365e-06,0.76096,1.30
19751762_45,19751762_44,0.2975074167032503,2048,45,9.78862509938365e-06,0.76144,1.30
19751762_46,19751762_45,0.2975074167032503,2048,46,9.78862509938365e-06,0.76088,1.30
19751762_47,19751762_46,0.2975074167032503,2048,47,9.78862509938365e-06,0.75980,1.30
19751764_1,,0.1638333778073712,128,1,0.0031802643580611752,0.54938,1.40
19751764_2,19751764_1,0.1638333778073712,128,2,0.0031802643580611752,0.72539,1.23
19751764_3,19751764_2,0.1638333778073712,128,3,0.0031802643580611752,0.85980,1.18
19751764_4,19751764_3,0.1638333778073712,128,4,0.0031802643580611752,0.90237,1.18
19751764_5,19751764_4,0.1638333778073712,128,5,0.0031802643580611752,0.92918,1.19
19751764_6,19751764_5,0.1638333778073712,128,6,0.0031802643580611752,0.95106,1.22
19751764_7,19751764_6,0.1638333778073712,128,7,0.0031802643580611752,0.96455,1.25
19751764_8,19751764_7,0.1638333778073712,128,8,0.0031802643580611752,0.97367,1.29
19751764_9,19751764_8,0.1638333778073712,128,9,0.0031802643580611752,0.98007,1.32
19751764_10,19751764_9,0.1638333778073712,128,10,0.0031802643580611752,0.98516,1.36
19751764_11,19751764_10,0.1638333778073712,128,11,0.0031802643580611752,0.98684,1.38
19751764_12,19751764_11,0.1638333778073712,128,12,0.0031802643580611752,0.99016,1.41
19751764_13,19751764_12,0.1638333778073712,128,13,0.0031802643580611752,0.99188,1.44
19751764_14,19751764_13,0.1638333778073712,128,14,0.0031802643580611752,0.99304,1.46
19751764_15,19751764_14,0.1638333778073712,128,15,0.0031802643580611752,0.99400,1.48
19751764_16,19751764_15,0.1638333778073712,128,16,0.0031802643580611752,0.99444,1.50
19751764_17,19751764_16,0.1638333778073712,128,17,0.0031802643580611752,0.99540,1.52
19751764_18,19751764_17,0.1638333778073712,128,18,0.0031802643580611752,0.99588,1.53
19751764_19,19751764_18,0.1638333778073712,128,19,0.0031802643580611752,0.99624,1.55
19751764_20,19751764_19,0.1638333778073712,128,20,0.0031802643580611752,0.99684,1.56
19751764_21,19751764_20,0.1638333778073712,128,21,0.0031802643580611752,0.99724,1.58
19751767_1,,0.12242940848878442,1024,1,0.006319044166418863,0.74564,1.22
19751767_2,19751767_1,0.12242940848878442,1024,2,0.006319044166418863,0.85571,1.22
19751767_3,19751767_2,0.12242940848878442,1024,3,0.006319044166418863,0.90589,1.24
19751767_4,19751767_3,0.12242940848878442,1024,4,0.006319044166418863,0.94650,1.32
19751767_5,19751767_4,0.12242940848878442,1024,5,0.006319044166418863,0.97187,1.38
19751767_6,19751767_5,0.12242940848878442,1024,6,0.006319044166418863,0.98976,1.46
19751767_7,19751767_6,0.12242940848878442,1024,7,0.006319044166418863,0.99596,1.54
19751767_8,19751767_7,0.12242940848878442,1024,8,0.006319044166418863,0.99904,1.59
19751767_9,19751767_8,0.12242940848878442,1024,9,0.006319044166418863,0.99976,1.61
19751767_10,19751767_9,0.12242940848878442,1024,10,0.006319044166418863,0.99996,1.63
19751767_11,19751767_10,0.12242940848878442,1024,11,0.006319044166418863,1.00000,1.64
19751767_12,19751767_11,0.12242940848878442,1024,12,0.006319044166418863,1.00000,1.64
19751767_13,19751767_12,0.12242940848878442,1024,13,0.006319044166418863,1.00000,1.63
19751767_14,19751767_13,0.12242940848878442,1024,14,0.006319044166418863,1.00000,1.63
19751767_15,19751767_14,0.12242940848878442,1024,15,0.006319044166418863,1.00000,1.63
19751767_16,19751767_15,0.12242940848878442,1024,16,0.006319044166418863,1.00000,1.63
19751767_17,19751767_16,0.12242940848878442,1024,17,0.006319044166418863,1.00000,1.62
19751767_18,19751767_17,0.12242940848878442,1024,18,0.006319044166418863,1.00000,1.62
19751767_19,19751767_18,0.12242940848878442,1024,19,0.006319044166418863,1.00000,1.62
19751767_20,19751767_19,0.12242940848878442,1024,20,0.006319044166418863,1.00000,1.62
19751767_21,19751767_20,0.12242940848878442,1024,21,0.006319044166418863,1.00000,1.61
19751767_22,19751767_21,0.12242940848878442,1024,22,0.006319044166418863,1.00000,1.61
19751767_23,19751767_22,0.12242940848878442,1024,23,0.006319044166418863,1.00000,1.61
19751767_24,19751767_23,0.12242940848878442,1024,24,0.006319044166418863,1.00000,1.62
19751767_25,19751767_24,0.12242940848878442,1024,25,0.006319044166418863,1.00000,1.61
19751767_26,19751767_25,0.12242940848878442,1024,26,0.006319044166418863,1.00000,1.61
19751767_27,19751767_26,0.12242940848878442,1024,27,0.006319044166418863,1.00000,1.61
19751767_28,19751767_27,0.12242940848878442,1024,28,0.006319044166418863,1.00000,1.60
19751767_29,19751767_28,0.12242940848878442,1024,29,0.006319044166418863,1.00000,1.60
19751767_30,19751767_29,0.12242940848878442,1024,30,0.006319044166418863,1.00000,1.60
19751767_31,19751767_30,0.12242940848878442,1024,31,0.006319044166418863,1.00000,1.60
19751767_32,19751767_31,0.12242940848878442,1024,32,0.006319044166418863,1.00000,1.59
19751767_33,19751767_32,0.12242940848878442,1024,33,0.006319044166418863,1.00000,1.59
19751767_34,19751767_33,0.12242940848878442,1024,34,0.006319044166418863,1.00000,1.60
19751767_35,19751767_34,0.12242940848878442,1024,35,0.006319044166418863,1.00000,1.59
19751767_36,19751767_35,0.12242940848878442,1024,36,0.006319044166418863,1.00000,1.59
19751767_37,19751767_36,0.12242940848878442,1024,37,0.006319044166418863,1.00000,1.59
19751767_38,19751767_37,0.12242940848878442,1024,38,0.006319044166418863,1.00000,1.59
19751767_39,19751767_38,0.12242940848878442,1024,39,0.006319044166418863,1.00000,1.59
19751767_40,19751767_39,0.12242940848878442,1024,40,0.006319044166418863,1.00000,1.59
19751767_41,19751767_40,0.12242940848878442,1024,41,0.006319044166418863,1.00000,1.58
19751767_42,19751767_41,0.12242940848878442,1024,42,0.006319044166418863,1.00000,1.58
19751767_43,19751767_42,0.12242940848878442,1024,43,0.006319044166418863,1.00000,1.59
19751767_44,19751767_43,0.12242940848878442,1024,44,0.006319044166418863,1.00000,1.58
19751767_45,19751767_44,0.12242940848878442,1024,45,0.006319044166418863,1.00000,1.58
19751771_1,,0.3959766199918313,2048,1,0.00046543339684098224,0.65409,1.35
19751771_2,19751771_1,0.3959766199918313,2048,2,0.00046543339684098224,0.77721,1.28
19751771_3,19751771_2,0.3959766199918313,2048,3,0.00046543339684098224,0.81866,1.28
19751771_4,19751771_3,0.3959766199918313,2048,4,0.00046543339684098224,0.84015,1.27
19751771_5,19751771_4,0.3959766199918313,2048,5,0.00046543339684098224,0.86192,1.27
19751771_6,19751771_5,0.3959766199918313,2048,6,0.00046543339684098224,0.87192,1.27
19751771_7,19751771_6,0.3959766199918313,2048,7,0.00046543339684098224,0.88140,1.27
19751771_8,19751771_7,0.3959766199918313,2048,8,0.00046543339684098224,0.88968,1.27
19751771_9,19751771_8,0.3959766199918313,2048,9,0.00046543339684098224,0.89673,1.28
19751771_10,19751771_9,0.3959766199918313,2048,10,0.00046543339684098224,0.89973,1.28
19751771_11,19751771_10,0.3959766199918313,2048,11,0.00046543339684098224,0.90721,1.29
19751771_12,19751771_11,0.3959766199918313,2048,12,0.00046543339684098224,0.91141,1.29
19751771_13,19751771_12,0.3959766199918313,2048,13,0.00046543339684098224,0.91345,1.30
19751771_14,19751771_13,0.3959766199918313,2048,14,0.00046543339684098224,0.91793,1.30
19751771_15,19751771_14,0.3959766199918313,2048,15,0.00046543339684098224,0.92194,1.32
19751771_16,19751771_15,0.3959766199918313,2048,16,0.00046543339684098224,0.92165,1.32
19751771_17,19751771_16,0.3959766199918313,2048,17,0.00046543339684098224,0.92750,1.32
19751771_18,19751771_17,0.3959766199918313,2048,18,0.00046543339684098224,0.92858,1.33
19751771_19,19751771_18,0.3959766199918313,2048,19,0.00046543339684098224,0.93178,1.34
19751773_1,,0.38096403030050263,1024,1,1.84011973712301e-05,0.50556,1.41
19751773_2,19751773_1,0.38096403030050263,1024,2,1.84011973712301e-05,0.54009,1.40
19751773_3,19751773_2,0.38096403030050263,1024,3,1.84011973712301e-05,0.58631,1.38
19751773_4,19751773_3,0.38096403030050263,1024,4,1.84011973712301e-05,0.62356,1.37
19751773_5,19751773_4,0.38096403030050263,1024,5,1.84011973712301e-05,0.64393,1.37
19751773_6,19751773_5,0.38096403030050263,1024,6,1.84011973712301e-05,0.64557,1.37
19751773_7,19751773_6,0.38096403030050263,1024,7,1.84011973712301e-05,0.65393,1.37
